County,FMR_0BR,FMR_1BR,FMR_2BR,FMR_3BR,FMR_4BR
Androscoggin County,898,994,1268,1663,1845
Aroostook County,730,786,986,1351,1407
Cumberland County,1197,1330,1745,2191,2667
Portland County,1379,1563,2011,2464,2763
Franklin County,765,851,1116,1474,1480
Hancock County,1011,1017,1202,1588,1594
Kennebec County,895,901,1160,1454,1739
Knox County,808,997,1178,1471,1798
Lincoln County,1082,1103,1244,1643,1649
Oxford County,830,835,1096,1435,1840
Penobscot County,839,880,1155,1455,1723
Penobscot County,1034,1114,1424,1825,1890
Piscataquis County,771,857,1124,1354,1499
Sagadahoc County,1037,1168,1435,2011,2410
Somerset County,841,911,1053,1350,1510
Waldo County,946,952,1219,1576,1694
Washington County,704,782,1026,1438,1541
York County,1162,1312,1616,2134,2351
York County,1352,1528,1971,2552,3310
